page	ts	digest	url	source	http	compression	bytes	cdx_len	repeat_ts_same_digest
faq_pt.html	20150208045611	CAUX26XUTOUATBGJC2W4YINLTKF32B6C	http://www.moonsighting.com:80/faq_pt.html	fetched	200	none	34372	12263	
faq_pt.html	20150430045151	YQAZDCVRBFWGAVHRC7577HXUDVZX7ISF	http://www.moonsighting.com:80/faq_pt.html	fetched	200	none	33967	12224	
faq_pt.html	20150623181411	PRQOJEJ46WS6NAWKS2VIN2JBF6PUZNGJ	http://www.moonsighting.com:80/faq_pt.html	fetched	200	none	34361	12260	
faq_pt.html	20150731063021	IMI3VR5E3DNJ5LPRNWP3VP4T25G7EDVZ	http://www.moonsighting.com:80/faq_pt.html	fetched	200	none	33944	12215	
faq_pt.html	20151230095855	7SUYS5626J7IPHJCQHNZPYSQIPWNJSFS	http://www.moonsighting.com:80/faq_pt.html	fetched	200	none	36507	12419	
faq_pt.html	20160611040618	CC6XH23FPY4GFLJ22RUSBZ6PCXB6JWKA	http://www.moonsighting.com:80/faq_pt.html	fetched	200	none	36507	12418	
faq_pt.html	20160801224244	LLY2XF7NSBPY7IGY6WULKZ52ZKCWKZNI	http://www.moonsighting.com:80/faq_pt.html	fetched	200	none	35411	12032	
faq_pt.html	20170610104150	YVE4E7SJWHMSAGBF2ZL54AZTGXJDCVRA	http://www.moonsighting.com:80/faq_pt.html	fetched	200	none	35704	12177	
faq_pt.html	20171024144450	UPZLUQ74X2ZJJKYT5NC2SKQ6CZJBOAPW	http://www.moonsighting.com:80/faq_pt.html	fetched	200	none	35323	12072	
faq_pt.html	20171124133208	GR7Y5RXJB6FBNRH4L6RMJPDG2P5BFDPA	http://www.moonsighting.com:80/faq_pt.html	disk	-	none	35323	12072	
faq_pt.html	20190328011931	RSJLTVGVZX2XDBFQ6ZFO36NRMXU37E6D	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34583	12164	
faq_pt.html	20190719013036	LH7BFHQTNFYTA4RPZQC3B4CZ2TYAIJXX	https://moonsighting.com/faq_pt.html	fetched	200	none	34223	12321	
faq_pt.html	20190719210556	M54VSN72IHYFFHIXV2NUJWUUMZYEHRNW	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34223	12317	
faq_pt.html	20190908222620	AGZYJON7WMKTZDDXJVAAWYLSOAQEECFO	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34223	12052	
faq_pt.html	20191002034338	AS7NH37IO6PJMAZBOFN5VVQX4P5EKL2G	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34223	12051	
faq_pt.html	20191021121737	WSGR2O7GUVIJFR76YASLF5TREDYHA36T	https://moonsighting.com/faq_pt.html	fetched	200	none	34223	12335	
faq_pt.html	20191214193354	H4B73LC7RWQ7NKFBYVO23XOY7Z7FGG63	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34223	12068	
faq_pt.html	20200114093914	X64OBG4KSWNJUUANERNE2KDJWVNQQ7WR	https://moonsighting.com/faq_pt.html	fetched	200	gzip	34223	12546	
faq_pt.html	20200308081502	TRSLAAAKDJLXU5PFFSX4ICKQWQYOFE4M	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34239	12073	
faq_pt.html	20200420040430	W525U4QWCQWWO7S7IZJIH7X27VBAHJEH	https://moonsighting.com/faq_pt.html	fetched	200	none	34239	12420	
faq_pt.html	20200606074628	WFF7S4ZJDDRXCV6O4CJLP4VCDYSFUUGJ	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34239	12134	
